"comparison","kappa"
"rater1 vs rater2",0.46193640759651
"rater1 vs rater3",0.348014926978986
"rater1 vs rater4",0.43037438314461
"rater1 vs rater5",0.20934680638975
"rater1 vs ml",0.209825150635359
"rater2 vs rater3",0.244958344700229
"rater2 vs rater4",0.305405405405405
"rater2 vs rater5",0.183844727714648
"rater2 vs ml",0.13715084800459
"rater3 vs rater4",0.361064157300107
"rater3 vs rater5",0.229208878510022
"rater3 vs ml",0.151320260571201
"rater4 vs rater5",0.149527963514695
"rater4 vs ml",0.25401121778736
"rater5 vs ml",0.135608687716737
